qas_location,x,y
Blackbutt First Responder,152.1,-26.89
Drayton,151.9117431,-27.60422864
Geebung,153.0577124,-27.36650654
Camooweal,138.121843,-19.917823
Doomadgee,138.825734,-17.943187
Mornington Island,139.177865,-16.665883
Birdsville,139.353576,-25.897805
Bedourie,139.467656,-24.357708
Mount Isa,139.485507,-20.728784
Mount Isa Helicopter,139.491349,-20.667045
Dajarra,139.514354,-21.693923
Burketown,139.548371,-17.73186
Boulia,139.908776,-22.908379
Cloncurry,140.527698,-20.703913
Karumba,140.84208,-17.484948
Normanton,141.079589,-17.673029
Julia Creek,141.742821,-20.657747
Kowanyama Field Office,141.7484,-15.4779
Weipa,141.860079,-12.653277
Weipa Field Office,141.860079,-12.653277
Mabuiag Island First Responder,142.195401,-9.949904
Torres Strait Helicopter,142.209665,-10.588964
Hammond Island First Responder,142.217481,-10.554056
Thursday Island,142.223334,-10.582193
Croydon,142.239179,-18.210705
Horn Island Field Office,142.250165,-10.594137
St Pauls First Responder,142.332923,-10.185863
Bamaga,142.390882,-10.893452
Windorah,142.654041,-25.419629
Iama Island First Responder,142.775831,-9.899334
Winton,143.037724,-22.385904
Jundah,143.070467,-24.821824
Richmond,143.149158,-20.738849
Coen Field Office,143.2009,-13.9449
Georgetown,143.54722,-18.292694
Thargomindah,143.81925,-27.997444
Hughenden,144.198366,-20.845729
Longreach,144.25697,-23.439857
Quilpie,144.274111,-26.615652
Mount Surprise First Responder,144.318332,-18.147264
Isisford,144.438719,-24.261959
Chillagoe,144.528232,-17.149953
Muttaburra,144.547495,-22.594218
Lakeland First Responder,144.856453,-15.855839
Greenvale First Responder,144.983414,-19.002402
Dimbulah,145.108862,-17.148788
Mount Garnet,145.115254,-17.676996
Aramac,145.242361,-22.968175
Cooktown Field Office,145.2472,-15.4756
Cooktown,145.248826,-15.473398
Barcaldine,145.293467,-23.552995
Mossman,145.372784,-16.46268
Mareeba,145.423206,-16.988617
Port Douglas,145.463323,-16.498626
Blackall,145.463377,-24.42293
Atherton,145.484038,-17.266715
Ravenshoe,145.487049,-17.609726
Malanda,145.595557,-17.353615
Millaa Millaa,145.607788,-17.514515
Kuranda,145.622372,-16.833676
Cunnamulla,145.690386,-28.07223
Smithfield,145.692542,-16.831796
Edmonton,145.742656,-17.015841
Cairns Helicopter,145.749607,-16.88519
Cairns,145.751032,-16.913676
Gordonvale,145.787253,-17.093575
Yarrabah,145.865235,-16.907491
Babinda,145.919541,-17.34336
Tully,145.922167,-17.933682
South Johnstone,145.99283,-17.602318
Silkwood,146.012358,-17.741098
Cardwell,146.016983,-18.255794
Innisfail,146.03083,-17.521167
Mission Beach,146.092571,-17.904981
Jericho,146.127045,-23.604255
Ingham,146.173899,-18.650637
Charleville,146.23939,-26.404105
Tambo,146.24973,-24.882075
Charters Towers,146.265926,-20.076626
Halifax,146.285068,-18.580867
Palm Island,146.588472,-18.721029
Augathella,146.589838,-25.795578
Northern Beaches,146.628388,-19.226238
Alpha,146.636754,-23.655066
Kirwan,146.730775,-19.309043
Garbutt Helicopter,146.7728,-19.2528
Townsville,146.783374,-19.279683
Magnetic Island,146.845569,-19.156246
Giru,147.10337,-19.517349
Cungulla First Responder,147.10556,-19.551217
Morven,147.112437,-26.416147
Bollon,147.284465,-28.153269
Ayr,147.403527,-19.578408
Home Hill,147.415876,-19.661034
Clermont,147.641288,-22.823281
Gemfields,147.72102,-23.460192
Collinsville,147.837586,-20.546454
Mitchell,147.975396,-26.487896
Capella,148.025515,-23.089528
Moranbah,148.045418,-22.00095
Springsure,148.089165,-24.114522
Glenden,148.118604,-21.35793
Emerald,148.155154,-23.516154
Dirranbandi,148.229049,-28.579744
Bowen,148.236128,-20.008064
Tieri,148.344671,-23.038005
Dysart,148.349372,-22.585426
Coppabella,148.3660734,-21.90230957
Injune,148.567203,-25.841252
Proserpine,148.583625,-20.40023
St George,148.586052,-28.033712
Rolleston First Responder,148.622199,-24.463782
Finch Hatton,148.632266,-21.14009
Nebo,148.691221,-21.690176
Whitsunday,148.698033,-20.27576
Middlemount,148.70265,-22.808489
Calen,148.760135,-20.900794
Roma,148.789004,-26.573412
Blackwater,148.879903,-23.58219
Marian First Responder,148.943968,-21.144011
Hamilton Island,148.9501,-20.3502
Seaforth,148.964857,-20.899519
Surat,149.066527,-27.152349
North Mackay,149.165645,-21.099299
Mackay,149.169227,-21.169218
Mackay Helicopter,149.181477,-21.176233
Sarina,149.213915,-21.422693
Carmila,149.412567,-21.90945
Woorabinda,149.455479,-24.130459
Talwood First Responder,149.472191,-28.486044
St Lawrence,149.534169,-22.345609
Duaringa,149.67341,-23.714562
Taroom,149.800096,-25.63951
Baralaba,149.811751,-24.180985
Meandarra,149.881946,-27.323194
Marlborough,149.89274,-22.813232
Wandoan,149.959345,-26.121844
Moura,149.969099,-24.570694
Theodore,150.075948,-24.943584
Miles,150.183715,-26.659474
Wowan,150.196993,-23.905749
Goondiwindi,150.313611,-28.547661
Mount Morgan,150.386464,-23.64406
Tara,150.455316,-27.276181
Gracemere,150.45627,-23.443872
Rockhampton Helicopter,150.478631,-23.378049
Rockhampton,150.508663,-23.378984
Biloela,150.514408,-24.40251
North Rockhampton,150.515704,-23.314394
Chinchilla,150.624278,-26.741262
Yeppoon,150.737449,-23.140155
Emu Park,150.820195,-23.266893
Mount Larcom,150.978595,-23.810813
Inglewood,151.081038,-28.417786
Jandowae,151.11047,-26.780747
Monto,151.121591,-24.867799
Eidsvold,151.122886,-25.370468
Texas,151.178449,-28.857515
Calliope,151.200488,-24.005771
Gladstone,151.257857,-23.849451
Dalby,151.260362,-27.185598
Millmerran,151.268412,-27.879235
Mundubbera,151.294486,-25.587318
Boyne Island,151.351482,-23.954355
Miriam Vale,151.559624,-24.32841
Proston,151.599637,-26.161177
Gayndah,151.610661,-25.636023
Pittsworth,151.634872,-27.716644
Turkey Beach First Responder,151.652248,-24.076177
Oakey,151.719148,-27.433194
Cooyar First Responder,151.835132,-26.979356
Kingaroy,151.839157,-26.536585
Agnes Water,151.864227,-24.240932
Fairview,151.903155,-27.535061
Clifton,151.90818,-27.930991
Toowoomba Helicopter,151.910341,-27.543627
Stanthorpe,151.933287,-28.652569
Highfields,151.940702,-27.45588
Murgon,151.943012,-26.244004
Cherbourg First Responder,151.947334,-26.241818
Toowoomba,151.951005,-27.565022
Gin Gin,151.953811,-24.987077
Yarraman,151.982867,-26.841603
Nanango,151.997665,-26.670953
Warwick,152.0339,-28.218199
Biggenden,152.049794,-25.50842
Crows Nest,152.053891,-27.262392
Kilkivan First Responder,152.239319,-26.085608
Gatton,152.27474,-27.558799
Childers,152.277518,-25.236144
Killarney First Responder,152.296407,-28.332904
Bundaberg Helicopter,152.3221,-24.8943
Bundaberg,152.331562,-24.870309
South Bundaberg,152.3573759,-24.90139809
Toogoolawah,152.373863,-27.08798
Laidley,152.39444,-27.628866
Burnett Coast,152.410281,-24.841738
Howard,152.560265,-25.321659
Kilcoy,152.563889,-26.942099
Woodgate First Responder,152.5757,-25.119623
Lowood,152.581334,-27.463797
Rosewood,152.591485,-27.637776
Gympie,152.657963,-26.185863
Imbil First Responder,152.674835,-26.459499
Boonah,152.685682,-27.993053
Maryborough,152.691617,-25.520368
Kenilworth First Responder,152.727642,-26.59319
Ipswich,152.764933,-27.619794
Woodford,152.780636,-26.963377
Urraween,152.8107762,-25.30183519
Dayboro,152.813567,-27.191426
Maleny,152.845573,-26.755297
Hervey Bay,152.851338,-25.28581
Pomona,152.854349,-26.365708
Rathdowney,152.862366,-28.211584
Redbank,152.866499,-27.602244
Samford,152.884722,-27.373468
Springfield,152.89195,-27.67014
Pinjarra Hills,152.898316,-27.543075
Cooroy,152.914369,-26.416227
Narangba,152.935535,-27.186544
Centenary,152.942952,-27.559468
Kenmore,152.950588,-27.507224
Beerwah,152.959182,-26.855034
Eatons Hill,152.960256,-27.337099
Yandina,152.960848,-26.556462
Caboolture,152.961015,-27.085794
Nambour,152.962488,-26.617728
Ashgrove,152.968333,-27.448611
Mitchelton,152.9757,-27.4139
Petrie,152.977914,-27.27082
Durack,152.985936,-27.587449
Archerfield Helicopter,152.9999,-27.5666
Beaudesert,153.002491,-27.985863
Cooloola Coast,153.003623,-25.916957
Roma Street,153.015222,-27.465935
Deception Bay,153.021384,-27.192155
North Lakes,153.021923,-27.239912
Chermside,153.024096,-27.385134
Jimboomba,153.02516,-27.828863
Tewantin,153.02682,-26.393766
Spring Hill,153.02886,-27.461351
Logan West,153.030208,-27.677733
Kedron Park,153.037471,-27.415421
Nathan,153.039644,-27.544271
South Brisbane,153.041548,-27.495654
Sandgate,153.043318,-27.312241
Sunnybank Hills,153.045617,-27.588243
Buderim,153.048508,-26.712759
Ningi,153.059356,-27.071622
Maroochydore,153.065174,-26.662634
Balmoral,153.071714,-27.459685
Northgate,153.074163,-27.396905
Mount Gravatt,153.082057,-27.545848
Maroochydore Helicopter,153.0886,-26.6086
Coolum,153.089987,-26.527785
Noosa Heads,153.090656,-26.408666
Rainbow Beach,153.090829,-25.905142
Carina,153.099424,-27.496465
Redcliffe,153.109062,-27.233639
Woodridge,153.110046,-27.631783
Birtinya,153.1148594,-26.74273066
Caloundra,153.120041,-26.801957
Fraser Island First Responder,153.124765,-25.508406
Springwood,153.125526,-27.615869
Kawana,153.131548,-26.704845
Logan Hospital,153.140112,-27.670744
Bribie Island,153.15959,-27.083298
Canungra,153.162939,-28.016722
Mount Tamborine,153.180388,-27.936172
Wynnum,153.1821,-27.465154
Capalaba,153.190174,-27.542642
Beenleigh,153.201206,-27.703012
Happy Valley,153.201901,-25.336201
Birkdale,153.217694,-27.49328
Cleveland,153.255193,-27.528044
Springbrook,153.2686,-28.195126
Redland Bay,153.289129,-27.611448
Pimpama,153.2913721,-27.81448199
